Invoice ID,Branch,City,Customer Type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,Rating
INV-00088,B,Naypyitaw,Normal,Male,Electronic accessories,46.39,8,18.56,389.68,2022-09-03,Ewallet,8.2
INV-00089,A,Mandalay,Normal,Male,Sports and travel,48.54,5,12.14,254.84,2022-05-29,Ewallet,5.2
INV-00090,A,Naypyitaw,Normal,Male,Fashion accessories,74.58,6,22.37,469.85,2022-09-03,Ewallet,7.9
INV-00091,A,Naypyitaw,Normal,Female,Electronic accessories,72.32,4,14.46,303.74,2023-01-30,Ewallet,8.9
INV-00092,A,Mandalay,Normal,Male,Food and beverages,99.21,9,44.64,937.53,2023-05-02,Cash,4.3
INV-00093,C,Naypyitaw,Member,Female,Home and lifestyle,21.56,8,8.62,181.1,2023-04-21,Cash,9.5
INV-00094,A,Yangon,Normal,Female,Health and beauty,19.37,1,0.97,20.34,2022-01-05,Ewallet,4.2
INV-00095,A,Yangon,Member,Male,Health and beauty,75.19,2,7.52,157.9,2023-04-10,Credit card,6.1
INV-00096,A,Naypyitaw,Member,Male,Sports and travel,62.05,9,27.92,586.37,2022-07-03,Credit card,4.1
INV-00097,C,Yangon,Normal,Female,Electronic accessories,34.67,8,13.87,291.23,2022-01-20,Cash,4.5
INV-00098,A,Naypyitaw,Normal,Female,Sports and travel,17.15,3,2.57,54.02,2023-03-01,Ewallet,9.5
INV-00099,A,Yangon,Member,Female,Home and lifestyle,17.71,8,7.08,148.76,2022-02-15,Ewallet,6.1
INV-00100,C,Yangon,Member,Male,Sports and travel,90.48,1,4.52,95.0,2022-01-12,Cash,6.5
INV-00101,C,Naypyitaw,Member,Female,Fashion accessories,27.27,4,5.45,114.53,2022-03-11,Credit card,5.3
INV-00102,C,Yangon,Normal,Male,Health and beauty,39.1,3,5.86,123.17,2022-01-17,Credit card,7.6
INV-00103,A,Naypyitaw,Normal,Female,Health and beauty,30.4,6,9.12,191.52,2023-01-06,Credit card,7.6
INV-00104,C,Yangon,Normal,Female,Food and beverages,41.95,7,14.68,308.33,2022-05-27,Cash,6.2
INV-00105,C,Yangon,Normal,Male,Food and beverages,16.25,4,3.25,68.25,2022-06-03,Credit card,6.0
INV-00106,A,Mandalay,Normal,Female,Home and lifestyle,56.72,7,19.85,416.89,2022-10-31,Cash,9.3
INV-00107,C,Mandalay,Member,Male,Fashion accessories,16.09,9,7.24,152.05,2022-04-18,Cash,6.3
INV-00108,A,Naypyitaw,Normal,Male,Electronic accessories,82.03,2,8.2,172.26,2022-08-24,Ewallet,7.0
INV-00109,B,Mandalay,Member,Female,Sports and travel,31.03,3,4.65,97.74,2022-11-04,Credit card,5.7
INV-00110,C,Naypyitaw,Member,Male,Home and lifestyle,58.6,5,14.65,307.65,2022-12-18,Cash,8.7
INV-00111,B,Mandalay,Member,Male,Food and beverages,89.21,3,13.38,281.01,2022-03-11,Credit card,6.4
INV-00112,A,Yangon,Normal,Female,Sports and travel,68.58,8,27.43,576.07,2022-07-02,Credit card,7.1
INV-00113,C,Naypyitaw,Normal,Male,Food and beverages,57.97,8,23.19,486.95,2022-09-07,Ewallet,5.5
INV-00114,A,Naypyitaw,Normal,Male,Sports and travel,39.19,8,15.68,329.2,2022-08-16,Credit card,9.9
INV-00115,B,Yangon,Member,Male,Electronic accessories,39.97,9,17.99,377.72,2022-04-12,Ewallet,5.7
INV-00116,A,Naypyitaw,Member,Female,Home and lifestyle,70.25,4,14.05,295.05,2022-03-16,Cash,8.6
INV-00117,C,Naypyitaw,Member,Male,Sports and travel,99.47,5,24.87,522.22,2023-02-21,Credit card,6.6
INV-00118,C,Mandalay,Member,Female,Fashion accessories,69.57,5,17.39,365.24,2023-03-22,Cash,5.2
INV-00119,B,Naypyitaw,Member,Female,Health and beauty,60.2,8,24.08,505.68,2022-08-04,Credit card,8.8
INV-00120,A,Yangon,Member,Male,Fashion accessories,75.76,7,26.52,556.84,2023-02-11,Cash,6.0
INV-00121,C,Mandalay,Normal,Male,Fashion accessories,51.87,9,23.34,490.17,2023-02-03,Credit card,9.2
INV-00122,B,Mandalay,Normal,Male,Health and beauty,15.41,8,6.16,129.44,2023-02-15,Credit card,9.5
INV-00123,C,Yangon,Normal,Female,Fashion accessories,60.61,2,6.06,127.28,2022-07-22,Credit card,9.2
INV-00124,C,Yangon,Normal,Male,Sports and travel,96.19,4,19.24,404.0,2022-07-11,Credit card,4.2
INV-00125,A,Mandalay,Member,Male,Sports and travel,25.78,6,7.73,162.41,2022-09-06,Credit card,8.7
INV-00126,C,Naypyitaw,Member,Male,Sports and travel,72.1,2,7.21,151.41,2023-05-14,Credit card,6.5
INV-00127,A,Mandalay,Normal,Male,Health and beauty,28.08,7,9.83,206.39,2022-08-30,Credit card,9.2
INV-00128,C,Yangon,Member,Male,Fashion accessories,58.22,3,8.73,183.39,2023-04-10,Credit card,7.8
INV-00129,B,Mandalay,Normal,Female,Health and beauty,18.7,3,2.8,58.9,2022-06-28,Credit card,9.0
INV-00130,C,Yangon,Normal,Female,Sports and travel,50.53,2,5.05,106.11,2023-03-13,Cash,7.0
INV-00131,A,Mandalay,Normal,Male,Fashion accessories,78.05,8,31.22,655.62,2023-04-07,Ewallet,7.2
INV-00132,A,Naypyitaw,Member,Male,Fashion accessories,41.28,6,12.38,260.06,2022-08-07,Credit card,4.9
INV-00133,B,Mandalay,Normal,Male,Food and beverages,69.84,1,3.49,73.33,2022-03-23,Ewallet,8.7
INV-00134,C,Mandalay,Normal,Male,Food and beverages,81.59,1,4.08,85.67,2022-04-02,Credit card,6.5
INV-00135,C,Yangon,Normal,Female,Electronic accessories,93.45,7,32.71,686.86,2023-03-11,Credit card,7.0
INV-00136,B,Yangon,Member,Male,Home and lifestyle,31.12,8,12.45,261.41,2022-06-24,Cash,8.7
INV-00137,C,Yangon,Member,Female,Food and beverages,45.94,5,11.49,241.18,2022-08-27,Cash,7.6
INV-00138,C,Mandalay,Normal,Female,Health and beauty,23.72,5,5.93,124.53,2022-09-17,Ewallet,5.2
INV-00139,A,Naypyitaw,Member,Male,Food and beverages,99.32,4,19.86,417.14,2023-01-26,Cash,7.5
INV-00140,C,Yangon,Member,Female,Electronic accessories,93.43,6,28.03,588.61,2022-12-31,Cash,6.4
INV-00141,C,Yangon,Member,Female,Fashion accessories,58.6,6,17.58,369.18,2022-06-12,Ewallet,6.8
INV-00142,B,Mandalay,Member,Female,Electronic accessories,85.78,3,12.87,270.21,2022-02-17,Cash,4.2
INV-00143,B,Yangon,Member,Female,Fashion accessories,56.89,9,25.6,537.61,2022-11-25,Credit card,5.3
INV-00144,A,Naypyitaw,Member,Male,Fashion accessories,66.12,7,23.14,485.98,2022-11-24,Ewallet,5.7
INV-00145,C,Naypyitaw,Member,Male,Home and lifestyle,18.02,1,0.9,18.92,2022-04-26,Ewallet,8.3
INV-00146,C,Yangon,Member,Female,Food and beverages,77.97,7,27.29,573.08,2023-03-05,Credit card,4.1
INV-00147,C,Yangon,Member,Male,Health and beauty,21.49,5,5.37,112.82,2022-12-03,Cash,6.5
INV-00148,A,Mandalay,Member,Male,Health and beauty,84.35,5,21.09,442.84,2022-12-03,Ewallet,9.5
INV-00149,A,Naypyitaw,Normal,Male,Sports and travel,80.38,2,8.04,168.8,2023-01-04,Ewallet,4.7
INV-00150,B,Naypyitaw,Normal,Male,Fashion accessories,73.79,4,14.76,309.92,2022-08-13,Credit card,7.1
INV-00151,A,Yangon,Member,Male,Health and beauty,13.25,6,3.98,83.48,2022-12-18,Credit card,8.7
INV-00152,C,Mandalay,Normal,Female,Home and lifestyle,37.28,7,13.05,274.01,2022-11-24,Cash,9.7
INV-00153,C,Naypyitaw,Normal,Male,Fashion accessories,33.68,5,8.42,176.82,2022-05-27,Ewallet,8.5
INV-00154,A,Naypyitaw,Member,Male,Home and lifestyle,42.41,9,19.08,400.77,2022-03-04,Cash,8.3
INV-00155,C,Mandalay,Member,Male,Health and beauty,17.89,3,2.68,56.35,2022-10-21,Cash,9.0
INV-00156,C,Mandalay,Member,Male,Health and beauty,94.33,1,4.72,99.05,2022-11-19,Credit card,6.7
INV-00157,A,Naypyitaw,Normal,Female,Sports and travel,59.84,4,11.97,251.33,2023-03-19,Ewallet,8.8
INV-00158,A,Naypyitaw,Normal,Female,Health and beauty,37.5,9,16.88,354.38,2022-11-21,Ewallet,4.0
INV-00159,C,Mandalay,Member,Female,Fashion accessories,45.73,4,9.15,192.07,2022-01-13,Ewallet,9.5
INV-00160,C,Naypyitaw,Member,Female,Fashion accessories,50.25,2,5.03,105.52,2023-03-07,Credit card,6.7
INV-00161,C,Yangon,Member,Male,Fashion accessories,64.05,5,16.01,336.26,2023-05-09,Credit card,7.3
INV-00162,B,Yangon,Normal,Female,Sports and travel,56.41,3,8.46,177.69,2022-07-08,Credit card,5.5
INV-00163,B,Mandalay,Normal,Male,Sports and travel,92.75,9,41.74,876.49,2022-10-14,Credit card,8.5
INV-00164,B,Mandalay,Normal,Male,Health and beauty,54.73,4,10.95,229.87,2022-07-27,Credit card,4.5
INV-00165,A,Mandalay,Normal,Male,Electronic accessories,99.29,6,29.79,625.53,2022-04-24,Ewallet,9.2
INV-00166,B,Yangon,Member,Male,Electronic accessories,86.63,2,8.66,181.92,2023-04-25,Cash,9.0
INV-00167,A,Naypyitaw,Member,Male,Sports and travel,28.77,6,8.63,181.25,2022-01-22,Ewallet,5.3
INV-00168,A,Yangon,Member,Female,Health and beauty,93.75,3,14.06,295.31,2022-12-15,Cash,8.9
INV-00169,B,Naypyitaw,Member,Female,Electronic accessories,20.47,9,9.21,193.44,2022-08-02,Credit card,8.7
INV-00170,B,Yangon,Normal,Female,Health and beauty,83.57,2,8.36,175.5,2022-06-20,Cash,7.8
INV-00171,B,Naypyitaw,Normal,Female,Health and beauty,44.26,9,19.92,418.26,2022-11-19,Ewallet,6.2
INV-00172,C,Yangon,Member,Male,Health and beauty,89.02,5,22.26,467.35,2022-02-23,Ewallet,5.6
INV-00173,B,Mandalay,Member,Female,Food and beverages,88.13,8,35.25,740.29,2023-01-29,Cash,5.4
INV-00174,C,Yangon,Normal,Male,Fashion accessories,82.53,2,8.25,173.31,2022-10-25,Credit card,5.9
INV-00175,A,Naypyitaw,Member,Female,Health and beauty,81.1,6,24.33,510.93,2022-11-16,Credit card,9.4
INV-00176,C,Yangon,Normal,Male,Food and beverages,37.42,3,5.61,117.87,2022-05-06,Ewallet,4.5
INV-00177,B,Yangon,Member,Male,Sports and travel,17.28,5,4.32,90.72,2022-10-04,Cash,9.0
INV-00178,A,Yangon,Member,Female,Electronic accessories,46.27,8,18.51,388.67,2023-04-09,Credit card,6.1
INV-00179,A,Mandalay,Member,Male,Fashion accessories,25.62,1,1.28,26.9,2022-07-23,Credit card,7.1
INV-00180,A,Yangon,Member,Male,Electronic accessories,72.55,5,18.14,380.89,2022-07-13,Ewallet,8.8
INV-00181,C,Mandalay,Member,Female,Fashion accessories,41.15,3,6.17,129.62,2022-06-18,Credit card,9.3
INV-00182,B,Mandalay,Member,Male,Electronic accessories,97.8,4,19.56,410.76,2022-06-01,Cash,6.1
INV-00183,A,Yangon,Member,Female,Fashion accessories,67.69,2,6.77,142.15,2022-02-04,Ewallet,6.8
INV-00184,A,Yangon,Normal,Female,Electronic accessories,84.02,9,37.81,793.99,2022-07-03,Ewallet,6.5
INV-00185,A,Yangon,Normal,Female,Electronic accessories,21.93,3,3.29,69.08,2022-10-13,Cash,4.1
INV-00186,C,Naypyitaw,Normal,Male,Electronic accessories,87.58,2,8.76,183.92,2022-02-26,Ewallet,5.8
INV-00187,C,Yangon,Normal,Male,Electronic accessories,93.05,9,41.87,879.32,2022-08-10,Credit card,6.8
INV-00188,B,Mandalay,Normal,Male,Sports and travel,53.84,7,18.84,395.72,2022-10-30,Credit card,6.5
INV-00189,C,Yangon,Member,Female,Health and beauty,64.56,6,19.37,406.73,2022-06-12,Cash,8.3
INV-00190,A,Naypyitaw,Member,Male,Home and lifestyle,78.83,1,3.94,82.77,2022-01-19,Credit card,6.3
INV-00191,B,Yangon,Normal,Female,Food and beverages,25.74,5,6.44,135.14,2023-01-05,Cash,6.9
INV-00192,A,Naypyitaw,Member,Female,Home and lifestyle,55.23,3,8.28,173.97,2022-09-21,Cash,6.6
INV-00193,A,Naypyitaw,Normal,Male,Home and lifestyle,45.88,1,2.29,48.17,2022-10-09,Credit card,8.4
INV-00194,C,Yangon,Normal,Female,Fashion accessories,23.17,4,4.63,97.31,2022-04-23,Cash,9.2
INV-00195,B,Mandalay,Member,Male,Health and beauty,43.08,2,4.31,90.47,2023-05-03,Credit card,7.2
INV-00196,C,Naypyitaw,Member,Male,Fashion accessories,16.14,2,1.61,33.89,2022-11-23,Ewallet,8.7
INV-00197,C,Yangon,Member,Male,Health and beauty,12.32,3,1.85,38.81,2022-01-30,Ewallet,5.8
INV-00198,B,Yangon,Normal,Male,Health and beauty,22.16,8,8.86,186.14,2022-05-15,Cash,7.2
INV-00199,A,Mandalay,Member,Male,Electronic accessories,96.68,8,38.67,812.11,2022-03-08,Credit card,6.1
INV-00200,A,Naypyitaw,Normal,Female,Sports and travel,59.46,7,20.81,437.03,2022-03-06,Credit card,6.5
INV-00201,B,Naypyitaw,Normal,Female,Electronic accessories,96.92,6,29.08,610.6,2022-10-19,Ewallet,8.4
INV-00202,A,Yangon,Normal,Female,Sports and travel,48.92,9,22.01,462.29,2022-01-25,Ewallet,9.3
INV-00203,B,Yangon,Member,Male,Fashion accessories,38.06,4,7.61,159.85,2022-02-06,Credit card,4.7
INV-00204,B,Mandalay,Member,Male,Sports and travel,55.55,1,2.78,58.33,2022-01-01,Cash,7.8
INV-00205,C,Mandalay,Normal,Male,Fashion accessories,49.56,8,19.82,416.3,2023-02-03,Ewallet,7.5
INV-00206,B,Naypyitaw,Member,Female,Home and lifestyle,19.51,7,6.83,143.4,2022-02-06,Cash,4.7
INV-00207,C,Naypyitaw,Member,Male,Home and lifestyle,67.67,7,23.68,497.37,2022-05-21,Cash,5.3
INV-00208,A,Yangon,Member,Female,Sports and travel,29.44,3,4.42,92.74,2022-08-20,Ewallet,5.9
INV-00209,A,Naypyitaw,Normal,Female,Sports and travel,65.76,4,13.15,276.19,2022-05-16,Cash,5.0
INV-00210,A,Mandalay,Normal,Male,Fashion accessories,68.52,9,30.83,647.51,2023-01-24,Cash,5.5
INV-00211,A,Mandalay,Member,Male,Electronic accessories,23.68,6,7.1,149.18,2022-07-07,Credit card,5.6
INV-00212,C,Yangon,Normal,Female,Fashion accessories,15.52,5,3.88,81.48,2022-05-08,Cash,6.0
INV-00213,A,Mandalay,Member,Male,Electronic accessories,80.27,3,12.04,252.85,2022-07-20,Credit card,8.5
INV-00214,B,Mandalay,Member,Female,Home and lifestyle,51.38,9,23.12,485.54,2022-05-07,Ewallet,7.4
INV-00215,B,Mandalay,Member,Male,Health and beauty,15.23,5,3.81,79.96,2022-09-14,Ewallet,9.9
INV-00216,B,Mandalay,Member,Male,Sports and travel,99.54,5,24.88,522.58,2022-06-13,Credit card,6.5
INV-00217,C,Yangon,Normal,Female,Electronic accessories,15.2,4,3.04,63.84,2022-02-04,Ewallet,8.5
INV-00218,A,Yangon,Normal,Male,Fashion accessories,72.55,4,14.51,304.71,2022-07-13,Cash,9.2
INV-00219,A,Naypyitaw,Normal,Female,Home and lifestyle,98.53,1,4.93,103.46,2022-07-10,Cash,8.1
INV-00220,A,Mandalay,Member,Male,Electronic accessories,31.53,7,11.04,231.75,2022-04-14,Cash,6.5
INV-00221,C,Naypyitaw,Member,Female,Fashion accessories,22.8,9,10.26,215.46,2022-01-23,Ewallet,8.5
INV-00222,B,Yangon,Member,Female,Sports and travel,20.92,3,3.14,65.9,2022-09-22,Cash,5.2
INV-00223,B,Yangon,Normal,Male,Sports and travel,37.29,2,3.73,78.31,2022-10-17,Ewallet,6.0
INV-00224,A,Yangon,Member,Female,Food and beverages,19.09,3,2.86,60.13,2023-03-06,Cash,7.3
INV-00225,B,Yangon,Normal,Male,Health and beauty,72.29,1,3.61,75.9,2023-04-07,Credit card,7.5
INV-00226,B,Yangon,Normal,Male,Food and beverages,15.61,6,4.68,98.34,2023-01-19,Ewallet,4.1
INV-00227,C,Yangon,Normal,Male,Home and lifestyle,55.85,7,19.55,410.5,2022-09-17,Ewallet,9.7
INV-00228,C,Yangon,Normal,Female,Electronic accessories,99.7,2,9.97,209.37,2023-02-18,Cash,8.2
INV-00229,C,Mandalay,Normal,Female,Home and lifestyle,83.26,8,33.3,699.38,2023-04-24,Ewallet,7.0
INV-00230,C,Naypyitaw,Normal,Male,Fashion accessories,65.37,6,19.61,411.83,2022-12-24,Ewallet,9.6
INV-00231,A,Yangon,Member,Male,Sports and travel,37.56,4,7.51,157.75,2022-03-16,Credit card,6.6
INV-00232,C,Mandalay,Member,Female,Food and beverages,66.15,5,16.54,347.29,2022-12-21,Credit card,9.9
INV-00233,B,Mandalay,Normal,Male,Food and beverages,57.43,8,22.97,482.41,2022-03-13,Cash,7.1
INV-00234,A,Naypyitaw,Normal,Male,Food and beverages,48.35,3,7.25,152.3,2022-09-16,Credit card,4.7
INV-00235,B,Yangon,Member,Female,Home and lifestyle,21.76,3,3.26,68.54,2023-02-02,Cash,8.6
INV-00236,B,Naypyitaw,Normal,Male,Sports and travel,89.79,4,17.96,377.12,2022-07-07,Cash,8.1
INV-00237,B,Yangon,Normal,Female,Electronic accessories,50.48,1,2.52,53.0,2023-04-06,Cash,8.6
